"country_id","count"
1,"1"
2,"3"
3,"1"
4,"2"
5,"1"
6,"13"
7,"1"
8,"1"
9,"3"
10,"2"
11,"1"
12,"3"
13,"2"
14,"2"
15,"28"
16,"1"
17,"2"
18,"2"
19,"2"
20,"7"
21,"1"
22,"3"
23,"53"
24,"6"
25,"2"
26,"1"
27,"3"
28,"3"
29,"6"
30,"1"
31,"1"
32,"1"
33,"1"
34,"4"
35,"1"
36,"2"
37,"1"
38,"7"
39,"2"
40,"1"
41,"1"
42,"1"
43,"1"
44,"60"
45,"14"
46,"8"
47,"1"
48,"4"
49,"7"
50,"31"
51,"2"
52,"2"
53,"1"
54,"2"
55,"1"
56,"1"
57,"1"
58,"1"
59,"3"
60,"30"
61,"1"
62,"3"
63,"3"
64,"2"
65,"1"
66,"1"
67,"5"
68,"1"
69,"13"
70,"1"
71,"2"
72,"5"
73,"3"
74,"4"
75,"20"
76,"8"
77,"2"
78,"2"
79,"1"
80,"28"
81,"1"
82,"5"
83,"1"
84,"1"
85,"11"
86,"5"
87,"5"
88,"1"
89,"2"
90,"1"
91,"3"
92,"10"
93,"3"
94,"3"
95,"1"
96,"1"
97,"15"
98,"1"
99,"1"
100,"6"
101,"3"
102,"8"
103,"35"
104,"7"
105,"6"
106,"1"
107,"4"
108,"2"
109,"1"
